Id;ConducenHijos;Edad;NHijos;AntiguedadTrabajo;Ingresos;Soltero;ValorDomicilio;Genero;Educacion;Trabajo;DistanciaTrabajo;Uso;ValVehiculo;Experiencia;Tipo;ColorRojo;TCuantia;NSiniestros;Suspensiones;Motor;Antiguedad;Zona
18788;0;42;0;11;$61,530;No;$0;M;Superior;Deportista;27;Privado;$16,620;6;Van;no;$0;0;No;2;;Urbano
62750;0;58;0;10;$153,831;No;$0;F;Master;;35;Comercial;$37,320;6;Pickup;no;$0;0;Si;0;13;Urbano
78225;0;52;0;6;$86,498;No;$287,091;F;Superior;Administrador;49;Comercial;$17,360;1;Pickup;no;$0;0;No;2;14;Urbano
54934;0;32;1;5;$68,288;No;$256,646;F;PhD;Deportista;25;Privado;$5,790;1;Deportivo;no;$0;0;No;0;10;Urbano
76545;0;40;3;17;$96,169;No;$281,910;F;Superior;Deportista;34;Privado;$17,170;10;Minivan;no;$0;0;No;2;8;Urbano
85814;0;50;0;8;$43,379;No;$210,026;M;Superior;Deportista;16;Privado;$32,120;14;Minivan;si;$0;0;No;0;12;Urbano
38166;0;34;1;12;$87,295;No;$264,318;M;Técnico;Independiente;46;Comercial;$32,190;3;Camión;no;$0;0;No;2;1;Urbano
29449;0;55;0;8;$108,048;No;$305,727;M;Master;Abogado;44;Privado;$17,800;1;Van;si;$0;0;No;2;;Urbano
35415;1;59;1;12;$119,382;Si;$0;F;Master;Deportista;26;Comercial;$24,130;13;Pickup;no;$0;0;No;0;16;Urbano
96721;0;53;0;15;$55,659;No;$235,880;M;Técnico;Independiente;70;Comercial;$12,370;11;Minivan;si;$0;0;No;1;1;Urbano
15139;0;40;0;12;$43,072;No;$120,442;M;Técnico;Arquitecto;38;Privado;$13,980;1;Minivan;si;$0;0;No;0;1;Rural
65288;0;46;0;14;$33,899;No;$158,521;M;Técnico;Arquitecto;31;Privado;$9,490;10;Pickup;si;$0;0;Si;0;9;Urbano
22960;0;37;0;12;$49,548;No;$0;F;Técnico;Arquitecto;29;Privado;$7,120;6;SUV;no;$0;0;No;0;1;Rural
78258;0;41;0;12;$23,327;No;$147,099;F;Superior;Ingeniero;25;Privado;$7,890;1;SUV;no;$0;0;No;0;11;Urbano
80442;0;39;0;13;$86,737;No;$231,682;M;Superior;Independiente;6;Comercial;$10,370;1;Pickup;si;$0;0;No;0;9;Urbano
